req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25,decision
Chatting system should be available.,"Support various file formats for uploading learning materials (documents, presentations, videos).",0,0,0,0,1.414,79,1,0,0,No
A forum will be there for discussion.,"Support various file formats for uploading learning materials (documents, presentations, videos).",0.067,0,0,0.059,1.366,75,0.887,0,1.284,No
Automated progress tracking should be available.,"Support various file formats for uploading learning materials (documents, presentations, videos).",0,0,0,0,1.414,73,1,0,0,No
Dashboard should contain link to monitor performances.,"Support various file formats for uploading learning materials (documents, presentations, videos).",0,0,0,0,1.414,71,1,0,0,No
"Admin will create, edit, and delete courses.",Implement a user-friendly interface for easy navigation through learning materials.,0,0,0,0,1.414,63,1,0,0,No
Support various file formats for uploading materials.,Implement a user-friendly interface for easy navigation through learning materials.,0.138,0.25,0,0.133,1.313,50,0.763,0,2.445,No
Provide options for taking exams and assignments.,Implement a user-friendly interface for easy navigation through learning materials.,0.064,0,0,0.062,1.368,61,0.881,0,1.222,No
Allow teachers to create assignments and assessments.,Implement a user-friendly interface for easy navigation through learning materials.,0,0,0,0,1.414,61,1,0,0,No
Provide a submission and grading system for assignments.,Implement a user-friendly interface for easy navigation through learning materials.,0.064,0,0,0.125,1.368,60,0.777,0,2.597,No
Generate automatic feedback for assessments.,Implement a user-friendly interface for easy navigation through learning materials.,0.077,0,0,0.071,1.358,62,0.862,0,1.088,No
Include a messaging system between students and teachers.,Implement a user-friendly interface for easy navigation through learning materials.,0,0,0,0.059,1.414,60,0.889,0,1.299,No
Support discussion forums will be there.,Implement a user-friendly interface for easy navigation through learning materials.,0,0,0,0,1.414,63,1,0,0,No
A tracking system for student progress.,Implement a user-friendly interface for easy navigation through learning materials.,0.077,0,0,0.067,1.358,62,0.873,0,1.152,No
Provide dashboards to monitor performance.,Implement a user-friendly interface for easy navigation through learning materials.,0,0,0,0,1.414,63,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",Implement a user-friendly interface for easy navigation through learning materials.,0.056,0,0,0.056,1.374,71,0.895,0,1.381,No
Generate automatic feedback for exams.,Implement a user-friendly interface for easy navigation through learning materials.,0.077,0,0,0.071,1.358,64,0.862,0,1.088,No
Chatting system should be available.,Implement a user-friendly interface for easy navigation through learning materials.,0,0,0,0,1.414,66,1,0,0,No
A forum will be there for discussion.,Implement a user-friendly interface for easy navigation through learning materials.,0.07,0,0,0.062,1.364,67,0.881,0,1.222,No
Automated progress tracking should be available.,Implement a user-friendly interface for easy navigation through learning materials.,0,0,0,0,1.414,60,1,0,0,No
Dashboard should contain link to monitor performances.,Implement a user-friendly interface for easy navigation through learning materials.,0,0,0,0,1.414,64,1,0,0,No
Support various file formats for uploading materials.,"Admin will create, edit, and delete courses.",0,0,0,0,1.414,43,1,0,0,No
Provide options for taking exams and assignments.,"Admin will create, edit, and delete courses.",0.078,0,0,0.077,1.358,37,0.857,0,0.946,No
Allow teachers to create assignments and assessments.,"Admin will create, edit, and delete courses.",0.168,1,0,0.077,1.29,37,0.857,0,0.946,No
Provide a submission and grading system for assignments.,"Admin will create, edit, and delete courses.",0.078,0,0,0.071,1.358,43,0.867,0,1.033,No
Generate automatic feedback for assessments.,"Admin will create, edit, and delete courses.",0,0,0,0,1.414,37,1,0,0,No
Include a messaging system between students and teachers.,"Admin will create, edit, and delete courses.",0.078,0,0,0.071,1.358,42,0.867,0,1.033,No
Support discussion forums will be there.,"Admin will create, edit, and delete courses.",0.085,0,0,0.083,1.353,36,0.846,0,0.867,No
A tracking system for student progress.,"Admin will create, edit, and delete courses.",0,0,0,0,1.414,30,1,0,0,No
Provide dashboards to monitor performance.,"Admin will create, edit, and delete courses.",0,0,0,0,1.414,38,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.","Admin will create, edit, and delete courses.",0.068,0,0,0.067,1.365,62,0.874,0,1.128,No
Generate automatic feedback for exams.,"Admin will create, edit, and delete courses.",0,0,0,0,1.414,34,1,0,0,No
Chatting system should be available.,"Admin will create, edit, and delete courses.",0,0,0,0,1.414,34,1,0,0,No
A forum will be there for discussion.,"Admin will create, edit, and delete courses.",0.085,0,0,0.077,1.353,30,0.857,0,0.946,No
Automated progress tracking should be available.,"Admin will create, edit, and delete courses.",0,0,0,0,1.414,39,1,0,0,No
Dashboard should contain link to monitor performances.,"Admin will create, edit, and delete courses.",0,0,0,0,1.414,42,1,0,0,No
Provide options for taking exams and assignments.,Support various file formats for uploading materials.,0.078,0,0,0.077,1.358,40,0.857,0,0.946,No
Allow teachers to create assignments and assessments.,Support various file formats for uploading materials.,0,0,0,0,1.414,43,1,0,0,No
Provide a submission and grading system for assignments.,Support various file formats for uploading materials.,0.078,0,0,0.071,1.358,46,0.867,0,1.033,No
Generate automatic feedback for assessments.,Support various file formats for uploading materials.,0.093,0,0,0.091,1.346,37,0.832,0,0.794,No
Include a messaging system between students and teachers.,Support various file formats for uploading materials.,0,0,0,0,1.414,46,1,0,0,No
Support discussion forums will be there.,Support various file formats for uploading materials.,0.085,0.25,0,0.083,1.353,31,0.846,0,0.867,Yes
A tracking system for student progress.,Support various file formats for uploading materials.,0.093,0,0,0.083,1.346,38,0.846,0,0.867,No
Provide dashboards to monitor performance.,Support various file formats for uploading materials.,0,0,0,0,1.414,41,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",Support various file formats for uploading materials.,0.068,0,0,0.067,1.365,63,0.874,0,1.128,No
Generate automatic feedback for exams.,Support various file formats for uploading materials.,0.093,0,0,0.091,1.346,38,0.832,0,0.794,No
Chatting system should be available.,Support various file formats for uploading materials.,0,0,0,0,1.414,40,1,0,0,No
A forum will be there for discussion.,Support various file formats for uploading materials.,0.085,0,0,0.077,1.353,38,0.857,0,0.946,No
Automated progress tracking should be available.,Support various file formats for uploading materials.,0,0,0,0,1.414,41,1,0,0,No
Dashboard should contain link to monitor performances.,Support various file formats for uploading materials.,0,0,0,0,1.414,43,1,0,0,No
Allow teachers to create assignments and assessments.,Provide options for taking exams and assignments.,0.168,0.25,0,0.077,1.29,31,0.857,0,0.946,Yes
Provide a submission and grading system for assignments.,Provide options for taking exams and assignments.,0.403,0.25,0,0.364,1.093,25,0.466,0,4.133,Yes
Generate automatic feedback for assessments.,Provide options for taking exams and assignments.,0.093,0,0,0.091,1.346,33,0.832,0,0.794,No
Include a messaging system between students and teachers.,Provide options for taking exams and assignments.,0.078,0,0,0.071,1.358,43,0.867,0,1.033,No
Support discussion forums will be there.,Provide options for taking exams and assignments.,0,0,0,0,1.414,39,1,0,0,No
A tracking system for student progress.,Provide options for taking exams and assignments.,0.093,0,0,0.083,1.346,37,0.846,0,0.867,No
Provide dashboards to monitor performance.,Provide options for taking exams and assignments.,0.093,0,0,0.091,1.346,33,0.832,0,0.794,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",Provide options for taking exams and assignments.,0.236,0.2,0,0.143,1.236,48,0.749,0,2.257,No
Generate automatic feedback for exams.,Provide options for taking exams and assignments.,0.206,0.25,0,0.091,1.26,39,0.832,0,0.794,Yes
Chatting system should be available.,Provide options for taking exams and assignments.,0,0,0,0,1.414,39,1,0,0,No
A forum will be there for discussion.,Provide options for taking exams and assignments.,0.085,0,0,0.077,1.353,37,0.857,0,0.946,No
Automated progress tracking should be available.,Provide options for taking exams and assignments.,0,0,0,0,1.414,36,1,0,0,No
Dashboard should contain link to monitor performances.,Provide options for taking exams and assignments.,0,0,0,0,1.414,41,1,0,0,No
Provide a submission and grading system for assignments.,Allow teachers to create assignments and assessments.,0.168,0.25,0,0.071,1.29,38,0.867,0,1.033,Yes
Generate automatic feedback for assessments.,Allow teachers to create assignments and assessments.,0.093,0.333,0,0.091,1.346,33,0.832,0,0.794,No
Include a messaging system between students and teachers.,Allow teachers to create assignments and assessments.,0.168,0.333,0,0.071,1.29,39,0.867,0,1.033,No
Support discussion forums will be there.,Allow teachers to create assignments and assessments.,0,0,0,0,1.414,43,1,0,0,No
A tracking system for student progress.,Allow teachers to create assignments and assessments.,0,0,0,0,1.414,37,1,0,0,No
Provide dashboards to monitor performance.,Allow teachers to create assignments and assessments.,0.093,0,0,0.091,1.346,41,0.832,0,0.794,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",Allow teachers to create assignments and assessments.,0.236,0.4,0,0.067,1.236,51,0.874,0,1.128,No
Generate automatic feedback for exams.,Allow teachers to create assignments and assessments.,0,0,0,0,1.414,39,1,0,0,No
Chatting system should be available.,Allow teachers to create assignments and assessments.,0,0,0,0,1.414,42,1,0,0,No
A forum will be there for discussion.,Allow teachers to create assignments and assessments.,0,0,0,0,1.414,39,1,0,0,No
Automated progress tracking should be available.,Allow teachers to create assignments and assessments.,0,0,0,0,1.414,41,1,0,0,No
Dashboard should contain link to monitor performances.,Allow teachers to create assignments and assessments.,0.078,0,0,0.077,1.358,45,0.857,0,0.946,No
Generate automatic feedback for assessments.,Provide a submission and grading system for assignments.,0.093,0,0,0.083,1.346,36,0.844,0,0.913,No
Include a messaging system between students and teachers.,Provide a submission and grading system for assignments.,0.168,0.25,0,0.231,1.29,43,0.625,0,3.44,No
Support discussion forums will be there.,Provide a submission and grading system for assignments.,0,0,0,0,1.414,42,1,0,0,No
A tracking system for student progress.,Provide a submission and grading system for assignments.,0.206,0.25,0,0.167,1.26,41,0.713,0,1.967,Yes
Provide dashboards to monitor performance.,Provide a submission and grading system for assignments.,0.093,0.5,0,0.083,1.346,34,0.844,0,0.913,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",Provide a submission and grading system for assignments.,0.236,0.2,0,0.133,1.236,56,0.764,0,2.477,No
Generate automatic feedback for exams.,Provide a submission and grading system for assignments.,0.093,0,0,0.083,1.346,42,0.844,0,0.913,No
Chatting system should be available.,Provide a submission and grading system for assignments.,0.093,0.25,0,0.083,1.346,44,0.844,0,0.913,No
A forum will be there for discussion.,Provide a submission and grading system for assignments.,0.085,0,0,0.071,1.353,42,0.867,0,1.062,No
Automated progress tracking should be available.,Provide a submission and grading system for assignments.,0,0,0,0,1.414,41,1,0,0,No
Dashboard should contain link to monitor performances.,Provide a submission and grading system for assignments.,0,0,0,0,1.414,41,1,0,0,No
Include a messaging system between students and teachers.,Generate automatic feedback for assessments.,0,0,0,0,1.414,43,1,0,0,No
Support discussion forums will be there.,Generate automatic feedback for assessments.,0,0,0,0,1.414,36,1,0,0,No
A tracking system for student progress.,Generate automatic feedback for assessments.,0.112,0,0,0.1,1.332,35,0.818,0,0.457,No
Provide dashboards to monitor performance.,Generate automatic feedback for assessments.,0,0,0,0,1.414,34,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",Generate automatic feedback for assessments.,0.179,0.2,0,0.077,1.282,58,0.854,0,0.661,No
Generate automatic feedback for exams.,Generate automatic feedback for assessments.,0.669,1,0,0.667,0.813,8,0.2,0.5,1.615,Yes
Chatting system should be available.,Generate automatic feedback for assessments.,0,0,0,0,1.414,36,1,0,0,No
A forum will be there for discussion.,Generate automatic feedback for assessments.,0.102,0,0,0.091,1.34,30,0.832,0,0.517,No
Automated progress tracking should be available.,Generate automatic feedback for assessments.,0,0,0,0,1.414,39,1,0,0,No
Dashboard should contain link to monitor performances.,Generate automatic feedback for assessments.,0,0,0,0,1.414,41,1,0,0,No
Support discussion forums will be there.,Include a messaging system between students and teachers.,0,0,0,0,1.414,43,1,0,0,No
A tracking system for student progress.,Include a messaging system between students and teachers.,0.093,0.25,0,0.077,1.346,33,0.856,0,0.984,Yes
Provide dashboards to monitor performance.,Include a messaging system between students and teachers.,0,0,0,0,1.414,44,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",Include a messaging system between students and teachers.,0.068,0,0,0.062,1.365,57,0.882,0,1.239,No
Generate automatic feedback for exams.,Include a messaging system between students and teachers.,0,0,0,0,1.414,43,1,0,0,No
Chatting system should be available.,Include a messaging system between students and teachers.,0.093,0.333,0,0.083,1.346,38,0.844,0,0.913,Yes
A forum will be there for discussion.,Include a messaging system between students and teachers.,0,0,0,0,1.414,46,1,0,0,No
Automated progress tracking should be available.,Include a messaging system between students and teachers.,0,0,0,0,1.414,44,1,0,0,No
Dashboard should contain link to monitor performances.,Include a messaging system between students and teachers.,0,0,0,0,1.414,48,1,0,0,No
A tracking system for student progress.,Support discussion forums will be there.,0,0,0,0,1.414,30,1,0,0,No
Provide dashboards to monitor performance.,Support discussion forums will be there.,0,0,0,0,1.414,33,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",Support discussion forums will be there.,0,0,0,0,1.414,63,1,0,0,No
Generate automatic feedback for exams.,Support discussion forums will be there.,0,0,0,0,1.414,34,1,0,0,No
Chatting system should be available.,Support discussion forums will be there.,0.102,0.5,0,0.1,1.34,32,0.818,0,0.637,No
A forum will be there for discussion.,Support discussion forums will be there.,0.503,1,0,0.182,0.997,33,0.692,0.125,1.563,Yes
Automated progress tracking should be available.,Support discussion forums will be there.,0.092,1,0,0.091,1.348,35,0.833,0,0.705,No
Dashboard should contain link to monitor performances.,Support discussion forums will be there.,0,0,0,0,1.414,42,1,0,0,No
Provide dashboards to monitor performance.,A tracking system for student progress.,0,0,0,0,1.414,33,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",A tracking system for student progress.,0.082,0,0,0.071,1.355,63,0.865,0,0.96,No
Generate automatic feedback for exams.,A tracking system for student progress.,0.112,0,0,0.1,1.332,31,0.818,0,0.637,No
Chatting system should be available.,A tracking system for student progress.,0.112,0.25,0,0.1,1.332,25,0.818,0,0.637,Yes
A forum will be there for discussion.,A tracking system for student progress.,0.102,0,0,0.182,1.34,29,0.692,0,1.563,No
Automated progress tracking should be available.,A tracking system for student progress.,0.226,0.5,0,0.091,1.244,36,0.833,0,0.705,Yes
Dashboard should contain link to monitor performances.,A tracking system for student progress.,0,0,0,0,1.414,41,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",Provide dashboards to monitor performance.,0,0,0,0,1.414,64,1,0,0,No
Generate automatic feedback for exams.,Provide dashboards to monitor performance.,0,0,0,0,1.414,34,1,0,0,No
Chatting system should be available.,Provide dashboards to monitor performance.,0,0,0,0,1.414,34,1,0,0,No
A forum will be there for discussion.,Provide dashboards to monitor performance.,0,0,0,0,1.414,35,1,0,0,No
Automated progress tracking should be available.,Provide dashboards to monitor performance.,0,0,0,0,1.414,35,1,0,0,No
Dashboard should contain link to monitor performances.,Provide dashboards to monitor performance.,0.206,0.5,0,0.2,1.26,25,0.664,0,1.033,Yes
Generate automatic feedback for exams.,"Send timely notifications for upcoming assignments, assessments, and announcements.",0.082,0,0,0.077,1.355,63,0.854,0,1.008,No
Chatting system should be available.,"Send timely notifications for upcoming assignments, assessments, and announcements.",0,0,0,0,1.414,68,1,0,0,No
A forum will be there for discussion.,"Send timely notifications for upcoming assignments, assessments, and announcements.",0.074,0,0,0.067,1.361,67,0.874,0,1.15,No
Automated progress tracking should be available.,"Send timely notifications for upcoming assignments, assessments, and announcements.",0,0,0,0,1.414,65,1,0,0,No
Dashboard should contain link to monitor performances.,"Send timely notifications for upcoming assignments, assessments, and announcements.",0,0,0,0,1.414,64,1,0,0,No
Chatting system should be available.,Generate automatic feedback for exams.,0,0,0,0,1.414,33,1,0,0,No
A forum will be there for discussion.,Generate automatic feedback for exams.,0.102,0,0,0.091,1.34,31,0.832,0,0.517,No
Automated progress tracking should be available.,Generate automatic feedback for exams.,0,0,0,0,1.414,37,1,0,0,No
Dashboard should contain link to monitor performances.,Generate automatic feedback for exams.,0,0,0,0,1.414,41,1,0,0,No
A forum will be there for discussion.,Chatting system should be available.,0.102,0.5,0,0.091,1.34,33,0.832,0,0.517,No
Automated progress tracking should be available.,Chatting system should be available.,0.381,1,0,0.375,1.113,22,0.453,0.167,1.37,No
Dashboard should contain link to monitor performances.,Chatting system should be available.,0.093,0,0,0.091,1.346,44,0.832,0,0.517,No
Automated progress tracking should be available.,A forum will be there for discussion.,0.092,1,0,0.083,1.348,38,0.846,0,0.867,No
Dashboard should contain link to monitor performances.,A forum will be there for discussion.,0,0,0,0,1.414,42,1,0,0,No
Dashboard should contain link to monitor performances.,Automated progress tracking should be available.,0.085,0,0,0.083,1.353,42,0.846,0,0.782,No
